Servicing option,Availability date,OS build,KB article
LTSC,2025-01-14,17763.6775,KB5050008
LTSC,2024-12-10,17763.6659,KB5048661
LTSC,2024-11-12,17763.6532,KB5046615
LTSC,2024-10-08,17763.6414,KB5044277
LTSC,2024-09-10,17763.6293,KB5043050
LTSC,2024-08-13,17763.6189,KB5041578
LTSC,2024-07-09,17763.6054,KB5040430
LTSC,2024-06-11,17763.5936,KB5039217
LTSC,2024-05-23,17763.583,KB5039705
LTSC,2024-05-14,17763.582,KB5037765
LTSC,2024-04-09,17763.5696,KB5036896
LTSC,2024-03-25,17763.5579,KB5037425
LTSC,2024-03-12,17763.5576,KB5035849
LTSC,2024-02-13,17763.5458,KB5034768
LTSC,2024-01-09,17763.5329,KB5034127
LTSC,2023-12-12,17763.5206,KB5033371
LTSC,2023-11-14,17763.5122,KB5032196
LTSC,2023-10-10,17763.4974,KB5031361
LTSC,2023-09-12,17763.4851,KB5030214
LTSC,2023-08-08,17763.4737,KB5029247
LTSC,2023-07-11,17763.4645,KB5028168
LTSC,2023-06-13,17763.4499,KB5027222
LTSC,2023-05-09,17763.4377,KB5026362
LTSC,2023-04-11,17763.4252,KB5025229
LTSC,2023-03-14,17763.4131,KB5023702
LTSC,2023-02-14,17763.401,KB5022840
LTSC,2023-01-10,17763.3887,KB5022286
LTSC,2022-12-20,17763.3772,KB5022554
LTSC,2022-12-13,17763.377,KB5021237
LTSC,2022-11-17,17763.3653,KB5021655
LTSC,2022-11-08,17763.365,KB5019966
LTSC,2022-10-17,17763.3534,KB5020438
LTSC,2022-10-11,17763.3532,KB5018419
LTSC,2022-09-20,17763.3469,KB5017379
LTSC,2022-09-13,17763.3406,KB5017315
LTSC,2022-08-23,17763.3346,KB5016690
LTSC,2022-08-09,17763.3287,KB5016623
LTSC,2022-07-21,17763.3232,KB5015880
LTSC,2022-07-12,17763.3165,KB5015811
LTSC,2022-06-23,17763.3113,KB5014669
LTSC,2022-06-14,17763.3046,KB5014692
LTSC,2022-05-24,17763.2989,KB5014022
LTSC,2022-05-19,17763.2931,KB5015018
LTSC,2022-05-10,17763.2928,KB5013941
LTSC,2022-04-21,17763.2867,KB5012636
LTSC,2022-04-12,17763.2803,KB5012647
LTSC,2022-03-22,17763.2746,KB5011551
LTSC,2022-03-08,17763.2686,KB5011503
LTSC,2022-02-15,17763.2628,KB5010427
LTSC,2022-02-08,17763.2565,KB5010351
LTSC,2022-01-25,17763.251,KB5009616
LTSC,2022-01-18,17763.2458,KB5010791
LTSC,2022-01-11,17763.2452,KB5009557
LTSC,2022-01-04,17763.2369,KB5010196
LTSC,2021-12-14,17763.2366,KB5008218
LTSC,2021-11-22,17763.233,KB5007266
LTSC,2021-11-14,17763.2305,KB5008602
LTSC,2021-11-09,17763.23,KB5007206
LTSC,2021-10-19,17763.2268,KB5006744
LTSC,2021-10-12,17763.2237,KB5006672
LTSC,2021-09-21,17763.2213,KB5005625
LTSC,2021-09-14,17763.2183,KB5005568
LTSC,2021-08-26,17763.2145,KB5005102
LTSC,2021-08-10,17763.2114,KB5005030
LTSC,2021-07-27,17763.2091,KB5005394
LTSC,2021-07-20,17763.209,KB5004308
LTSC,2021-07-13,17763.2061,KB5004244
LTSC,2021-07-06,17763.2029,KB5004947
LTSC,2021-06-15,17763.2028,KB5003703
LTSC,2021-06-08,17763.1999,KB5003646
LTSC,2021-05-20,17763.1971,KB5003217
LTSC,2021-05-11,17763.1935,KB5003171
LTSC,2021-04-22,17763.1911,KB5001384
LTSC,2021-04-13,17763.1879,KB5001342
LTSC,2021-03-25,17763.1852,KB5000854
LTSC,2021-03-18,17763.1823,KB5001638
LTSC,2021-03-15,17763.1821,KB5001568
LTSC,2021-03-09,17763.1817,KB5000822
LTSC,2021-02-16,17763.179,KB4601383
LTSC,2021-02-09,17763.1757,KB4601345
LTSC,2021-01-21,17763.1728,KB4598296
LTSC,2021-01-12,17763.1697,KB4598230
LTSC,2020-12-08,17763.1637,KB4592440
LTSC,2020-11-19,17763.1613,KB4586839
LTSC,2020-11-17,17763.1579,KB4594442
LTSC,2020-11-10,17763.1577,KB4586793
LTSC,2020-10-20,17763.1554,KB4580390
LTSC,2020-10-13,17763.1518,KB4577668
LTSC,2020-09-16,17763.149,KB4577069
LTSC,2020-09-08,17763.1457,KB4570333
LTSC,2020-08-20,17763.1432,KB4571748
LTSC,2020-08-11,17763.1397,KB4565349
LTSC,2020-07-21,17763.1369,KB4559003
LTSC,2020-07-14,17763.1339,KB4558998
LTSC,2020-06-16,17763.1294,KB4567513
LTSC,2020-06-09,17763.1282,KB4561608
LTSC,2020-05-12,17763.1217,KB4551853
LTSC,2020-04-21,17763.1192,KB4550969
LTSC,2020-04-14,17763.1158,KB4549949
LTSC,2020-03-30,17763.1132,KB4554354
LTSC,2020-03-17,17763.1131,KB4541331
LTSC,2020-03-10,17763.1098,KB4538461
LTSC,2020-02-25,17763.1075,KB4537818
LTSC,2020-02-11,17763.1039,KB4532691
LTSC,2020-01-23,17763.1012,KB4534321
LTSC,2020-01-14,17763.973,KB4534273
LTSC,2019-12-10,17763.914,KB4530715
LTSC,2019-11-12,17763.864,KB4523205
LTSC,2019-10-15,17763.832,KB4520062
LTSC,2019-10-08,17763.805,KB4519338
LTSC,2019-10-03,17763.775,KB4524148
LTSC,2019-09-24,17763.774,KB4516077
LTSC,2019-09-23,17763.74,KB4522015
LTSC,2019-09-10,17763.737,KB4512578
LTSC,2019-08-17,17763.72,KB4512534
LTSC,2019-08-13,17763.678,KB4511553
LTSC,2019-07-22,17763.652,KB4505658
LTSC,2019-07-09,17763.615,KB4507469
LTSC,2019-06-26,17763.593,KB4509479
LTSC,2019-06-18,17763.592,KB4501371
LTSC,2019-06-11,17763.557,KB4503327
LTSC,2019-05-21,17763.529,KB4497934
LTSC,2019-05-19,17763.504,KB4505056
LTSC,2019-05-14,17763.503,KB4494441
LTSC,2019-05-03,17763.475,KB4495667
LTSC,2019-05-01,17763.439,KB4501835
LTSC,2019-04-09,17763.437,KB4493509
LTSC,2019-04-02,17763.404,KB4490481
LTSC,2019-03-12,17763.379,KB4489899
LTSC,2019-03-01,17763.348,KB4482887
LTSC,2019-02-12,17763.316,KB4487044
LTSC,2019-01-22,17763.292,KB4476976
LTSC,2019-01-08,17763.253,KB4480116
LTSC,2018-12-19,17763.195,KB4483235
LTSC,2018-12-11,17763.194,KB4471332
LTSC,2018-12-05,17763.168,KB4469342
LTSC,2018-11-13,17763.134,KB4467708
LTSC,2018-11-13,17763.107,KB4464455
LTSC,2018-10-09,17763.55,KB4464330
LTSC,2018-10-02,17763.1,
